borrower_id,income_now,credit_limit_now,balance_now,utilization_now,credit_score_now,age_now,late_streak_now,days_late_now,utilization_trend_3m,credit_score_trend_3m,is_late_trend_3m,late_count_9m,max_days_late_9m,utilization_volatility,dti_proxy,headroom,defaulted,risk_score,risk_tier,top_reasons
10,47342.44,6771.67,1421.1,0.2099,625,25,0,0,-0.0077666666666666,-5.333333333333371,0.0,0,0,0.0069720872054213,0.3602095708560328,0.7901,0,0.06422611132675567,Low,"[{""feature"": ""utilization_trend_3m"", ""shap_value"": -1.0044, ""feature_value"": -0.0078}, {""feature"": ""income_now"", ""shap_value"": 0.8685, ""feature_value"": 47342.44}, {""feature"": ""credit_score_now"", ""shap_value"": 0.7627, ""feature_value"": 625.0}]"
11,66514.19,9792.4,4597.91,0.4695,570,44,0,0,0.0620999999999999,-6.0,0.0,0,0,0.0538521226240072,0.8295210388947943,0.5305,0,0.7472820710250789,High,"[{""feature"": ""utilization_volatility"", ""shap_value"": 1.7873, ""feature_value"": 0.0539}, {""feature"": ""utilization_trend_3m"", ""shap_value"": 1.6115, ""feature_value"": 0.0621}, {""feature"": ""utilization_now"", ""shap_value"": 0.3742, ""feature_value"": 0.4695}]"
12,24914.74,7929.75,1381.62,0.1742,637,33,0,0,-0.0047333333333333,1.6666666666666288,0.0,0,0,0.0033387872049593,0.665447040266711,0.8258,0,0.028766742087013047,Low,"[{""feature"": ""utilization_volatility"", ""shap_value"": -0.7348, ""feature_value"": 0.0033}, {""feature"": ""credit_score_now"", ""shap_value"": 0.5306, ""feature_value"": 637.0}, {""feature"": ""age_now"", ""shap_value"": 0.3568, ""feature_value"": 33.0}]"
13,48784.41,7157.24,2281.84,0.3188,603,21,0,0,0.008,-2.0,0.0,0,0,0.0080035929431724,0.5612875095397187,0.6812,0,0.09023214034364839,Low,"[{""feature"": ""credit_score_now"", ""shap_value"": 0.8905, ""feature_value"": 603.0}, {""feature"": ""income_now"", ""shap_value"": 0.4484, ""feature_value"": 48784.41}, {""feature"": ""utilization_volatility"", ""shap_value"": -0.4451, ""feature_value"": 0.008}]"
14,96059.84,14915.98,1917.59,0.1286,750,41,1,59,-0.0015,1.6666666666666288,0.3333333333333333,2,59,0.0014660983747499,0.2395494308248421,0.8714,0,0.021930764445509243,Low,"[{""feature"": ""income_now"", ""shap_value"": -1.6623, ""feature_value"": 96059.84}, {""feature"": ""utilization_volatility"", ""shap_value"": -1.3093, ""feature_value"": 0.0015}, {""feature"": ""credit_score_now"", ""shap_value"": 0.6866, ""feature_value"": 750.0}]"
15,23277.95,8116.44,2568.55,0.3165,692,36,0,0,0.0069999999999999,-6.0,0.0,0,0,0.0052709107372445,1.3241114438389403,0.6835,0,0.020102923695192336,Low,"[{""feature"": ""dti_proxy"", ""shap_value"": 0.7137, ""feature_value"": 1.3241}, {""feature"": ""utilization_volatility"", ""shap_value"": -0.4382, ""feature_value"": 0.0053}, {""feature"": ""income_now"", ""shap_value"": -0.2665, ""feature_value"": 23277.95}]"
16,53649.31,11790.6,3005.19,0.2549,614,23,0,0,0.0308666666666666,2.333333333333257,0.0,0,0,0.024402766236638,0.6721853457562413,0.7451,1,0.7517680292241253,High,"[{""feature"": ""utilization_trend_3m"", ""shap_value"": 1.8096, ""feature_value"": 0.0309}, {""feature"": ""utilization_volatility"", ""shap_value"": 1.4626, ""feature_value"": 0.0244}, {""feature"": ""credit_limit_now"", ""shap_value"": 0.3931, ""feature_value"": 11790.6}]"
17,62057.63,3396.54,1181.56,0.3479,666,49,0,0,0.0637666666666666,-0.3333333333333712,0.0,0,0,0.0515587798321273,0.2284766594737549,0.6521,0,0.6864443903525697,High,"[{""feature"": ""utilization_volatility"", ""shap_value"": 2.1788, ""feature_value"": 0.0516}, {""feature"": ""utilization_trend_3m"", ""shap_value"": 1.7496, ""feature_value"": 0.0638}, {""feature"": ""dti_proxy"", ""shap_value"": 0.3184, ""feature_value"": 0.2285}]"
18,40412.08,11482.22,2739.49,0.2386,760,59,0,0,-0.0029999999999999,-4.666666666666743,-0.3333333333333333,1,53,0.0041937453427694,0.8134666661611676,0.7614,0,0.00785206018288409,Low,"[{""feature"": ""utilization_volatility"", ""shap_value"": -0.8342, ""feature_value"": 0.0042}, {""feature"": ""credit_score_now"", ""shap_value"": -0.7844, ""feature_value"": 760.0}, {""feature"": ""credit_score_trend_3m"", ""shap_value"": 0.3652, ""feature_value"": -4.6667}]"
19,39534.74,10170.38,3400.03,0.3343,635,43,0,0,0.0142666666666666,5.0,0.0,0,0,0.0106540420081352,1.032012857239376,0.6657,0,0.11122228805633681,Watch,"[{""feature"": ""age_now"", ""shap_value"": 0.6121, ""feature_value"": 43.0}, {""feature"": ""utilization_trend_3m"", ""shap_value"": 0.5301, ""feature_value"": 0.0143}, {""feature"": ""utilization_volatility"", ""shap_value"": -0.2889, ""feature_value"": 0.0107}]"
20,62670.1,10393.39,3527.08,0.3394,707,24,0,0,0.0045666666666666,4.333333333333371,-0.3333333333333333,1,22,0.0081515335980415,0.6753612965655976,0.6606000000000001,0,0.020091182604191547,Low,"[{""feature"": ""utilization_volatility"", ""shap_value"": -0.5001, ""feature_value"": 0.0082}, {""feature"": ""is_late_trend_3m"", ""shap_value"": -0.2586, ""feature_value"": -0.3333}, {""feature"": ""utilization_trend_3m"", ""shap_value"": -0.2233, ""feature_value"": 0.0046}]"
21,88360.6,500.0,124.66,0.2493,604,23,0,0,-0.0055333333333333,9.0,0.0,0,0,0.0092783349799411,0.0169297175414929,0.7507,0,0.00042492705639010777,Low,"[{""feature"": ""utilization_trend_3m"", ""shap_value"": -1.4038, ""feature_value"": -0.0055}, {""feature"": ""balance_now"", ""shap_value"": -1.1421, ""feature_value"": 124.66}, {""feature"": ""dti_proxy"", ""shap_value"": -0.8412, ""feature_value"": 0.0169}]"
22,36848.8,500.0,150.83,0.3017,594,21,0,0,0.0065666666666666,-2.6666666666667425,0.0,0,0,0.0054726085594024,0.0491185601542133,0.6982999999999999,0,0.005227519629650278,Low,"[{""feature"": ""balance_now"", ""shap_value"": -1.5292, ""feature_value"": 150.83}, {""feature"": ""dti_proxy"", ""shap_value"": -0.7479, ""feature_value"": 0.0491}, {""feature"": ""credit_score_trend_3m"", ""shap_value"": 0.3672, ""feature_value"": -2.6667}]"
23,63884.54,10601.0,3369.47,0.3178,678,56,0,0,-0.0052666666666666,-13.666666666666629,0.0,2,38,0.0035093130065267,0.6329174475139836,0.6821999999999999,0,0.010137000802640028,Low,"[{""feature"": ""utilization_volatility"", ""shap_value"": -0.7323, ""feature_value"": 0.0035}, {""feature"": ""age_now"", ""shap_value"": 0.6004, ""feature_value"": 56.0}, {""feature"": ""utilization_trend_3m"", ""shap_value"": -0.3865, ""feature_value"": -0.0053}]"
24,26234.91,8915.08,1262.67,0.1416,756,41,0,0,-0.0003333333333333,3.0,0.0,0,0,0.0035434603301167,0.5775525813913359,0.8584,0,0.03109825362454191,Low,"[{""feature"": ""utilization_volatility"", ""shap_value"": -0.5549, ""feature_value"": 0.0035}, {""feature"": ""age_now"", ""shap_value"": 0.3805, ""feature_value"": 41.0}, {""feature"": ""credit_limit_now"", ""shap_value"": 0.2635, ""feature_value"": 8915.08}]"
25,88383.85,12904.14,2549.31,0.1976,519,34,0,0,0.0019333333333333,8.333333333333314,0.0,0,0,0.0042826523453475,0.3461234150339288,0.8024,0,0.0013552879733343965,Low,"[{""feature"": ""credit_score_now"", ""shap_value"": -0.8191, ""feature_value"": 519.0}, {""feature"": ""utilization_volatility"", ""shap_value"": -0.7619, ""feature_value"": 0.0043}, {""feature"": ""income_now"", ""shap_value"": -0.5286, ""feature_value"": 88383.85}]"
26,47411.52,6240.05,739.82,0.1186,486,23,0,0,-0.0036999999999999,-10.333333333333314,0.0,0,0,0.0032287768581925,0.187250693454945,0.8814,0,0.027024005111007405,Low,"[{""feature"": ""income_now"", ""shap_value"": 0.8579, ""feature_value"": 47411.52}, {""feature"": ""utilization_volatility"", ""shap_value"": -0.5623, ""feature_value"": 0.0032}, {""feature"": ""credit_score_trend_3m"", ""shap_value"": -0.3842, ""feature_value"": -10.3333}]"
27,48577.99,5509.84,1635.95,0.2969,614,33,0,0,0.0041999999999999,-1.0,0.3333333333333333,1,36,0.0059300318530154,0.4041212902211587,0.7031000000000001,0,0.018456960160426972,Low,"[{""feature"": ""max_days_late_9m"", ""shap_value"": -0.8671, ""feature_value"": 36.0}, {""feature"": ""credit_score_now"", ""shap_value"": 0.7257, ""feature_value"": 614.0}, {""feature"": ""dti_proxy"", ""shap_value"": -0.4988, ""feature_value"": 0.4041}]"
28,61112.8,9582.04,2751.76,0.2872,558,29,0,0,-0.006,-14.0,-0.3333333333333333,1,31,0.0075860251632707,0.5403306671190983,0.7128,0,0.018255033663797646,Low,"[{""feature"": ""utilization_trend_3m"", ""shap_value"": -1.0619, ""feature_value"": -0.006}, {""feature"": ""credit_score_now"", ""shap_value"": 0.5445, ""feature_value"": 558.0}, {""feature"": ""utilization_volatility"", ""shap_value"": -0.5287, ""feature_value"": 0.0076}]"
29,43263.21,13432.48,2502.29,0.1863,697,40,0,0,0.0072333333333333,-4.0,0.0,0,0,0.0071662596783662,0.6940650033058393,0.8137,0,0.03889856419558572,Low,"[{""feature"": ""utilization_trend_3m"", ""shap_value"": -0.3868, ""feature_value"": 0.0072}, {""feature"": ""age_now"", ""shap_value"": 0.3222, ""feature_value"": 40.0}, {""feature"": ""credit_score_trend_3m"", ""shap_value"": 0.2648, ""feature_value"": -4.0}]"
30,127360.98,3599.46,593.24,0.1648,671,59,1,23,-0.0131,3.3333333333333712,0.3333333333333333,1,23,0.0108559891304293,0.0558952985390757,0.8351999999999999,0,0.0029878647142299267,Low,"[{""feature"": ""utilization_trend_3m"", ""shap_value"": -1.838, ""feature_value"": -0.0131}, {""feature"": ""age_now"", ""shap_value"": 1.4976, ""feature_value"": 59.0}, {""feature"": ""income_now"", ""shap_value"": -0.6531, ""feature_value"": 127360.98}]"
31,38813.67,5886.3,988.57,0.1679,711,21,0,0,0.0146666666666666,-0.3333333333333712,0.0,0,0,0.013945110652523,0.3056356174598376,0.8321000000000001,0,0.3262273959098175,High,"[{""feature"": ""utilization_volatility"", ""shap_value"": 0.9078, ""feature_value"": 0.0139}, {""feature"": ""utilization_trend_3m"", ""shap_value"": 0.887, ""feature_value"": 0.0147}, {""feature"": ""income_now"", ""shap_value"": 0.2536, ""feature_value"": 38813.67}]"
32,29198.23,14824.37,3420.13,0.2307,732,41,0,0,-0.0067333333333333,-1.3333333333333712,0.0,0,0,0.00785795774995,1.4056180796963578,0.7693,0,0.05134250318965322,Low,"[{""feature"": ""utilization_trend_3m"", ""shap_value"": -1.3678, ""feature_value"": -0.0067}, {""feature"": ""dti_proxy"", ""shap_value"": 0.7289, ""feature_value"": 1.4056}, {""feature"": ""utilization_volatility"", ""shap_value"": -0.4604, ""feature_value"": 0.0079}]"
33,34529.04,7094.18,1606.63,0.2265,715,38,0,0,0.0021333333333333,-5.666666666666629,-0.3333333333333333,3,57,0.0058139439664004,0.558357834254868,0.7735,0,0.061029655807081994,Low,"[{""feature"": ""late_count_9m"", ""shap_value"": -0.3172, ""feature_value"": 3.0}, {""feature"": ""utilization_volatility"", ""shap_value"": -0.3071, ""feature_value"": 0.0058}, {""feature"": ""balance_now"", ""shap_value"": 0.3009, ""feature_value"": 1606.63}]"
34,54540.26,3745.76,698.3,0.1864,678,21,0,0,-0.0091999999999999,-7.6666666666667425,0.0,0,0,0.0078307797256155,0.1536406316756889,0.8136,0,0.0006804577424231121,Low,"[{""feature"": ""utilization_trend_3m"", ""shap_value"": -2.6134, ""feature_value"": -0.0092}, {""feature"": ""utilization_volatility"", ""shap_value"": -0.5438, ""feature_value"": 0.0078}, {""feature"": ""age_now"", ""shap_value"": -0.4516, ""feature_value"": 21.0}]"
35,50915.91,3088.34,956.81,0.3098,541,33,0,0,0.0457333333333333,-1.6666666666666288,0.3333333333333333,1,29,0.0406904814149179,0.2255035802619251,0.6901999999999999,0,0.04174131288304494,Low,"[{""feature"": ""utilization_volatility"", ""shap_value"": 1.587, ""feature_value"": 0.0407}, {""feature"": ""utilization_trend_3m"", ""shap_value"": 1.5835, ""feature_value"": 0.0457}, {""feature"": ""credit_score_now"", ""shap_value"": -1.1126, ""feature_value"": 541.0}]"
36,39643.06,16856.61,2845.75,0.1688,653,30,0,0,-0.0095999999999999,1.6666666666667425,0.0,1,18,0.008649566463124,0.861411808010357,0.8311999999999999,0,0.004416176057901977,Low,"[{""feature"": ""utilization_trend_3m"", ""shap_value"": -2.4586, ""feature_value"": -0.0096}, {""feature"": ""utilization_volatility"", ""shap_value"": -0.4846, ""feature_value"": 0.0086}, {""feature"": ""credit_limit_now"", ""shap_value"": 0.4715, ""feature_value"": 16856.61}]"
37,56759.62,10332.43,4006.9,0.3878,642,21,0,0,0.0166999999999999,-2.0,-0.3333333333333333,1,17,0.0096604146448851,0.847130406965981,0.6122000000000001,0,0.22988095398649377,Watch,"[{""feature"": ""utilization_trend_3m"", ""shap_value"": 1.1113, ""feature_value"": 0.0167}, {""feature"": ""utilization_volatility"", ""shap_value"": -0.508, ""feature_value"": 0.0097}, {""feature"": ""credit_score_trend_3m"", ""shap_value"": 0.3432, ""feature_value"": -2.0}]"
38,57307.22,9985.37,3257.49,0.3262,733,40,0,0,-0.0020666666666666,-3.0,0.0,0,0,0.0049138692606856,0.6821109101403744,0.6738,0,0.027591398547550765,Low,"[{""feature"": ""utilization_volatility"", ""shap_value"": -0.668, ""feature_value"": 0.0049}, {""feature"": ""age_now"", ""shap_value"": 0.5696, ""feature_value"": 40.0}, {""feature"": ""utilization_trend_3m"", ""shap_value"": -0.431, ""feature_value"": -0.0021}]"
39,62442.25,12988.85,2104.74,0.162,849,21,0,0,-0.0121,2.0,0.0,0,0,0.0092339650806742,0.4044838229747677,0.838,0,0.00066390764742686,Low,"[{""feature"": ""utilization_trend_3m"", ""shap_value"": -2.7358, ""feature_value"": -0.0121}, {""feature"": ""credit_score_now"", ""shap_value"": -0.8814, ""feature_value"": 849.0}, {""feature"": ""dti_proxy"", ""shap_value"": -0.4675, ""feature_value"": 0.4045}]"
40,50872.19,4926.58,1031.25,0.2093,674,28,0,0,-0.0099333333333333,-1.0,-0.3333333333333333,1,16,0.0100274622911283,0.2432566790830298,0.7907,0,0.0010683368552163316,Low,"[{""feature"": ""utilization_trend_3m"", ""shap_value"": -2.7474, ""feature_value"": -0.0099}, {""feature"": ""credit_score_now"", ""shap_value"": -0.3189, ""feature_value"": 674.0}, {""feature"": ""credit_limit_now"", ""shap_value"": -0.2385, ""feature_value"": 4926.58}]"
41,29400.43,15544.76,5099.26,0.328,665,21,0,0,-0.0029333333333332,8.0,0.0,0,0,0.0072498467416751,2.08130017061058,0.6719999999999999,0,0.02505579167424979,Low,"[{""feature"": ""dti_proxy"", ""shap_value"": -0.5936, ""feature_value"": 2.0813}, {""feature"": ""credit_score_trend_3m"", ""shap_value"": -0.4651, ""feature_value"": 8.0}, {""feature"": ""credit_score_now"", ""shap_value"": 0.2267, ""feature_value"": 665.0}]"
42,54409.92,7865.59,2067.89,0.2629,646,39,0,0,-0.0051,2.333333333333257,0.0,0,0,0.0093204673225708,0.4560690402508801,0.7371,0,0.15809223970328126,Watch,"[{""feature"": ""age_now"", ""shap_value"": 0.5919, ""feature_value"": 39.0}, {""feature"": ""balance_now"", ""shap_value"": 0.2512, ""feature_value"": 2067.89}, {""feature"": ""utilization_trend_3m"", ""shap_value"": 0.2488, ""feature_value"": -0.0051}]"
43,76821.35,7820.02,1577.78,0.2018,542,46,0,0,-0.0060333333333333,-7.333333333333371,0.0,0,0,0.0079777990559914,0.2464596104734228,0.7982,0,0.006105267528837722,Low,"[{""feature"": ""utilization_volatility"", ""shap_value"": -0.5799, ""feature_value"": 0.008}, {""feature"": ""utilization_trend_3m"", ""shap_value"": -0.414, ""feature_value"": -0.006}, {""feature"": ""credit_score_trend_3m"", ""shap_value"": -0.3125, ""feature_value"": -7.3333}]"
44,33234.79,10958.77,6506.86,0.5938,732,69,0,0,0.1057999999999999,-0.6666666666666288,0.0,0,0,0.0793388373440845,2.349415175236763,0.4062,0,0.6849549426423922,High,"[{""feature"": ""utilization_volatility"", ""shap_value"": 2.4992, ""feature_value"": 0.0793}, {""feature"": ""utilization_trend_3m"", ""shap_value"": 1.9875, ""feature_value"": 0.1058}, {""feature"": ""utilization_now"", ""shap_value"": 1.2524, ""feature_value"": 0.5938}]"
45,39370.45,12927.5,3081.89,0.2384,724,40,0,0,-0.0052666666666666,0.6666666666667425,0.0,1,41,0.0053861963491049,0.9393512136317412,0.7616,0,0.0028014371577577577,Low,"[{""feature"": ""utilization_trend_3m"", ""shap_value"": -1.3863, ""feature_value"": -0.0053}, {""feature"": ""utilization_volatility"", ""shap_value"": -0.5798, ""feature_value"": 0.0054}, {""feature"": ""max_days_late_9m"", ""shap_value"": -0.5357, ""feature_value"": 41.0}]"
46,57274.74,6479.85,2327.98,0.3593,563,48,0,0,0.0199,4.3333333333332575,0.0,0,0,0.0123109707172099,0.4877500970610604,0.6407,0,0.10358789858977935,Watch,"[{""feature"": ""utilization_trend_3m"", ""shap_value"": 1.9758, ""feature_value"": 0.0199}, {""feature"": ""age_now"", ""shap_value"": -0.5707, ""feature_value"": 48.0}, {""feature"": ""credit_score_now"", ""shap_value"": -0.3342, ""feature_value"": 563.0}]"
47,25154.35,11294.88,2539.16,0.2248,643,33,0,0,-0.0016333333333333,2.6666666666667425,0.0,0,0,0.0025739075352467,1.21131812133743,0.7752,0,0.01621612747793002,Low,"[{""feature"": ""utilization_volatility"", ""shap_value"": -0.7671, ""feature_value"": 0.0026}, {""feature"": ""credit_score_now"", ""shap_value"": 0.4576, ""feature_value"": 643.0}, {""feature"": ""balance_now"", ""shap_value"": -0.2366, ""feature_value"": 2539.16}]"
48,41397.49,8475.19,3173.66,0.3745,658,34,0,0,0.0464666666666666,7.0,0.0,0,0,0.0381115723166132,0.9199572241930736,0.6255,1,0.8806439979634632,High,"[{""feature"": ""utilization_trend_3m"", ""shap_value"": 1.71, ""feature_value"": 0.0465}, {""feature"": ""utilization_volatility"", ""shap_value"": 1.6277, ""feature_value"": 0.0381}, {""feature"": ""utilization_now"", ""shap_value"": 1.1185, ""feature_value"": 0.3745}]"
49,52589.94,13159.72,4185.73,0.3181,578,40,0,0,-0.0059666666666666,-2.0,0.3333333333333333,1,31,0.0066390887928992,0.9551020592253722,0.6819,0,0.02165232199744429,Low,"[{""feature"": ""utilization_trend_3m"", ""shap_value"": -1.3007, ""feature_value"": -0.006}, {""feature"": ""balance_now"", ""shap_value"": 0.9097, ""feature_value"": 4185.73}, {""feature"": ""dti_proxy"", ""shap_value"": 0.3712, ""feature_value"": 0.9551}]"
50,61228.3,6144.8,1364.82,0.2221,722,25,0,0,-0.0194333333333333,-2.6666666666666288,0.3333333333333333,1,35,0.0116868634704859,0.2674880732731456,0.7779,0,0.00045011632458093084,Low,"[{""feature"": ""utilization_trend_3m"", ""shap_value"": -2.7468, ""feature_value"": -0.0194}, {""feature"": ""credit_score_now"", ""shap_value"": -0.8114, ""feature_value"": 722.0}, {""feature"": ""max_days_late_9m"", ""shap_value"": -0.7918, ""feature_value"": 35.0}]"
51,72567.27,11881.99,1684.12,0.1417,622,43,0,0,-0.0007666666666666,-1.6666666666667425,0.0,0,0,0.001399206124121,0.2784924938840621,0.8583000000000001,0,0.014195114782664916,Low,"[{""feature"": ""utilization_volatility"", ""shap_value"": -1.7027, ""feature_value"": 0.0014}, {""feature"": ""balance_now"", ""shap_value"": 0.4335, ""feature_value"": 1684.12}, {""feature"": ""age_now"", ""shap_value"": 0.343, ""feature_value"": 43.0}]"
52,51878.65,6411.22,1318.8,0.2057,675,28,0,0,0.0191,8.666666666666629,0.0,0,0,0.013989500030777,0.3050503433751532,0.7943,1,0.905309118160992,High,"[{""feature"": ""utilization_trend_3m"", ""shap_value"": 2.7783, ""feature_value"": 0.0191}, {""feature"": ""utilization_volatility"", ""shap_value"": 1.0296, ""feature_value"": 0.014}, {""feature"": ""credit_score_now"", ""shap_value"": 0.4257, ""feature_value"": 675.0}]"
53,81313.23,8097.79,1496.21,0.1848,652,36,0,0,0.0062333333333333,-8.333333333333371,-0.3333333333333333,1,21,0.0045432489598426,0.220806872354601,0.8152,0,0.00680482544602319,Low,"[{""feature"": ""utilization_volatility"", ""shap_value"": -0.7161, ""feature_value"": 0.0045}, {""feature"": ""credit_score_trend_3m"", ""shap_value"": -0.6262, ""feature_value"": -8.3333}, {""feature"": ""utilization_trend_3m"", ""shap_value"": -0.4122, ""feature_value"": 0.0062}]"
54,68035.1,6663.52,2339.36,0.3511,755,46,0,0,0.0062666666666667,2.3333333333333712,0.0,0,0,0.0076175783553567,0.4126152529363316,0.6489,0,0.00756933157063874,Low,"[{""feature"": ""utilization_volatility"", ""shap_value"": -0.5958, ""feature_value"": 0.0076}, {""feature"": ""dti_proxy"", ""shap_value"": -0.4503, ""feature_value"": 0.4126}, {""feature"": ""age_now"", ""shap_value"": -0.447, ""feature_value"": 46.0}]"
55,33735.45,4385.86,1498.03,0.3416,674,32,0,0,-0.0054666666666666,0.6666666666667425,0.0,0,0,0.0082760867027303,0.5328626116920228,0.6584,0,0.0030428345890268554,Low,"[{""feature"": ""utilization_trend_3m"", ""shap_value"": -1.2775, ""feature_value"": -0.0055}, {""feature"": ""credit_limit_now"", ""shap_value"": -0.8448, ""feature_value"": 4385.86}, {""feature"": ""utilization_volatility"", ""shap_value"": -0.4778, ""feature_value"": 0.0083}]"
56,51674.48,2825.98,1736.22,0.6144,645,40,0,0,0.1137,9.333333333333371,0.3333333333333333,1,15,0.0934519632990363,0.4031901239289048,0.3856,1,0.9768763909657183,High,"[{""feature"": ""utilization_trend_3m"", ""shap_value"": 2.3789, ""feature_value"": 0.1137}, {""feature"": ""utilization_volatility"", ""shap_value"": 2.3158, ""feature_value"": 0.0935}, {""feature"": ""utilization_now"", ""shap_value"": 1.2694, ""feature_value"": 0.6144}]"
57,37875.35,9361.76,2087.23,0.223,630,30,0,0,-0.0037,3.333333333333257,0.0,0,0,0.0065582221506882,0.6612944828777679,0.777,0,0.14501536019526748,Watch,"[{""feature"": ""credit_score_now"", ""shap_value"": 0.5664, ""feature_value"": 630.0}, {""feature"": ""age_now"", ""shap_value"": 0.5162, ""feature_value"": 30.0}, {""feature"": ""utilization_now"", ""shap_value"": -0.3031, ""feature_value"": 0.223}]"
