borrower_id,income_now,credit_limit_now,balance_now,utilization_now,credit_score_now,age_now,late_streak_now,days_late_now,utilization_trend_3m,credit_score_trend_3m,is_late_trend_3m,late_count_9m,max_days_late_9m,utilization_volatility,dti_proxy,headroom,defaulted
81,40131.39,2047.77,1428.51,0.6976,739,22,0,0,0.15089999999999998,-9.666666666666629,0.6666666666666666,2,33,0.11849053759688997,0.4271499191748455,0.3024,0
82,99949.0,14494.35,4383.81,0.3024,685,43,0,0,-0.006566666666666665,-4.333333333333371,0.0,0,0,0.006379459224730541,0.526325626006104,0.6976,0
83,46804.32,8758.56,1597.85,0.1824,622,53,0,0,-0.0055666666666666365,0.0,0.0,0,0,0.00509127794479058,0.4096673126558401,0.8176,0
84,25613.97,6565.57,1710.02,0.2605,705,29,0,0,0.0029000000000000137,2.6666666666666288,0.0,0,0,0.0037302814907189015,0.8011346929189963,0.7395,0
85,69385.47,6567.96,2781.16,0.4234,702,39,0,0,0.035166666666666624,6.0,-0.3333333333333333,1,36,0.03319446490004022,0.48099292249844355,0.5766,0
86,102277.52,6637.98,943.76,0.1422,724,35,0,0,-0.0010000000000000009,0.6666666666667425,0.0,0,0,0.004417578522222335,0.11072931763178503,0.8578,0
87,40902.74,7017.8,2143.07,0.3054,754,21,0,0,-0.013833333333333309,-3.3333333333333712,0.0,0,0,0.0118848643240047,0.6287314735505549,0.6946,0
88,38126.77,6886.53,1504.49,0.2185,697,33,0,0,0.00040000000000001146,-6.0,0.0,0,0,0.005119353257763882,0.47352240943352225,0.7815,0
89,64852.41,4185.72,1906.48,0.4555,707,31,0,0,0.0855333333333334,4.0,0.0,0,0,0.06758845027895753,0.3527665355191395,0.5445,1
90,58191.76,12309.91,2050.29,0.1666,659,47,0,0,-0.010666666666666685,5.3333333333332575,0.0,0,0,0.005232855604522045,0.4228000664514425,0.8334,0
91,73703.3,9676.8,1929.77,0.1994,691,51,0,0,-0.006666666666666654,-1.6666666666666288,0.0,0,0,0.006586686909550555,0.31419542946149837,0.8006,1
92,35361.63,11560.11,3114.02,0.2694,671,34,0,0,-0.0025333333333333874,4.333333333333371,0.0,0,0,0.0037549226948692823,1.0567454041942936,0.7306,0
93,27116.97,14465.13,2789.52,0.1928,686,27,0,0,0.001899999999999985,3.3333333333333712,-0.3333333333333333,1,24,0.0027606359975757668,1.2344388029041127,0.8072,0
94,79110.38,11536.75,3413.05,0.2958,714,49,0,0,0.018699999999999994,1.6666666666666288,0.0,0,0,0.011000467161797152,0.5177146158795777,0.7041999999999999,0
95,38264.32,10361.24,2450.45,0.2365,643,21,0,0,0.001466666666666644,2.3333333333332575,0.0,0,0,0.004044165893948698,0.7684809240247371,0.7635000000000001,0
96,60513.57,10235.19,2597.31,0.2538,714,42,0,0,-0.002866666666666684,7.0,0.0,0,0,0.00488879103437422,0.5150534003169761,0.7462,0
97,37517.58,9517.44,1415.4,0.1487,774,51,0,0,0.002700000000000008,3.3333333333333712,0.0,0,0,0.003162672920173689,0.4527157667037003,0.8513,0
98,55786.05,9934.81,3285.09,0.3307,689,22,0,0,0.00019999999999997797,2.3333333333332575,0.0,0,0,0.0036650375168612026,0.7066476294973425,0.6693,0
99,67070.79,9409.68,1726.15,0.1834,643,45,0,0,-0.005566666666666664,0.33333333333337123,0.0,0,0,0.003883619445826284,0.3088348891714856,0.8166,0
100,65345.81,7367.92,1999.41,0.2714,718,30,0,0,0.007099999999999995,2.0,0.0,0,0,0.010660102146685908,0.36716845342637855,0.7286,0
101,44960.12,8405.6,4270.62,0.5081,699,43,0,0,0.04583333333333339,1.0,0.0,0,0,0.047019263191920714,1.1398421531419822,0.4919,0
102,57042.44,8976.97,2309.64,0.2573,677,41,0,0,0.009366666666666662,7.666666666666629,0.0,0,0,0.00782048591840686,0.48587823371807826,0.7427,0
103,48865.93,6149.67,1043.44,0.1697,723,43,0,0,-0.0008666666666666545,-1.6666666666666288,0.0,0,0,0.002567640507893919,0.25623742343438777,0.8303,0
104,47966.63,12441.56,2913.9,0.2342,830,41,0,0,-0.0037666666666666404,4.333333333333371,0.0,1,12,0.004255421378795652,0.7289817940358166,0.7658,0
105,39518.15,3562.32,2338.74,0.6565,717,40,0,0,0.11770000000000003,10.0,0.0,0,0,0.0981805027034956,0.7101769691009795,0.3435,0
106,91256.17,9472.59,3706.57,0.3913,802,48,0,0,0.06696666666666667,1.3333333333333712,-0.3333333333333333,1,46,0.0521678966841145,0.4874063857178219,0.6087,1
107,62593.99,641.38,115.44,0.18,600,45,0,0,0.0030333333333333323,1.3333333333332575,0.0,0,0,0.003678579133910872,0.022131198214627723,0.8200000000000001,0
108,43235.75,4135.26,1740.37,0.4209,594,40,0,0,0.05826666666666658,3.3333333333333712,-0.3333333333333333,1,21,0.050033688650748136,0.48303637601298843,0.5791,1
109,46013.05,5069.98,1183.69,0.2335,641,23,0,0,0.005966666666666676,-10.666666666666629,0.0,0,0,0.005545719069696914,0.30870111840653003,0.7665,0
110,36923.2,5760.26,826.77,0.1435,796,41,0,0,0.005266666666666642,4.6666666666667425,0.0,0,0,0.004743357929193685,0.2686993542481586,0.8565,0
111,113267.95,1356.53,379.48,0.2797,666,25,0,0,0.002266666666666639,1.3333333333333712,0.0,0,0,0.00563325936835073,0.0402034291211023,0.7202999999999999,0
112,35963.48,12104.29,2109.81,0.1743,649,30,0,0,-0.004066666666666663,3.0,0.0,0,0,0.002373288857261161,0.7039841525778981,0.8257,0
113,37821.49,8206.22,1624.87,0.198,634,43,0,0,-0.006666666666666682,0.6666666666666288,0.0,0,0,0.0032155870381627115,0.5155386525970694,0.802,0
114,33928.41,11907.86,1288.79,0.1082,617,34,0,0,0.0017333333333333367,11.0,0.0,0,0,0.0024311062868121983,0.4558268422991256,0.8918,0
115,37636.49,8573.2,2478.18,0.2891,579,46,0,0,-0.010533333333333339,-2.0,0.0,0,0,0.00956936663409746,0.7901416946829606,0.7109,0
116,25401.35,12968.55,1681.31,0.1296,687,27,0,0,-0.004066666666666663,3.6666666666666288,0.0,0,0,0.002384848003542359,0.7942774691293444,0.8704000000000001,0
117,63886.17,5758.8,1830.04,0.3178,689,37,0,0,-0.0010333333333333306,2.0,0.0,0,0,0.00940909725271832,0.34374388065327866,0.6821999999999999,0
118,26281.83,10599.51,2820.8,0.2661,712,50,0,0,0.004733333333333367,-8.0,-0.3333333333333333,1,55,0.003183725979275087,1.287946843296096,0.7339,0
119,44616.01,7425.71,1326.5,0.1786,635,53,0,0,-0.002933333333333288,6.666666666666629,0.0,0,0,0.003011644069275132,0.3567777574847833,0.8214,0
120,35072.99,3624.61,1014.29,0.2798,700,54,0,0,-0.01313333333333333,-3.3333333333333712,0.0,0,0,0.008120806610183518,0.3470328590700595,0.7202,0
121,42723.68,11205.43,3233.41,0.2886,765,52,0,0,0.0010000000000000009,-0.6666666666666288,-0.3333333333333333,1,52,0.004864411577981455,0.908183002707206,0.7114,0
122,43472.02,13529.31,5106.68,0.3775,671,30,0,0,0.03443333333333326,10.0,0.0,0,0,0.031937430147781824,1.4096460202006775,0.6225,1
123,47953.58,8536.02,2490.53,0.2918,633,36,0,0,-0.012766666666666648,-2.0,-0.3333333333333333,1,38,0.00882524787187306,0.6232352202384301,0.7081999999999999,0
124,46421.6,3150.73,639.86,0.2031,713,27,0,0,0.009100000000000052,0.6666666666666288,0.0,1,8,0.0060373835392494345,0.1654040360094256,0.7968999999999999,0
125,27984.88,11252.14,2913.72,0.2589,695,40,0,0,0.01680000000000001,4.333333333333371,0.0,0,0,0.012164337676631266,1.2494118247070225,0.7411,0
126,31415.83,10961.14,1059.87,0.0967,640,23,0,0,-0.0019333333333333425,5.666666666666629,0.0,1,24,0.004131283093664724,0.40484176274005484,0.9033,0
127,20725.11,16073.06,1704.7,0.1061,681,39,0,0,-0.001266666666666652,5.0,0.0,0,0,0.0019480759738778135,0.9870345676406824,0.8939,0
128,45785.48,9518.97,1198.37,0.1259,755,22,0,0,-0.004833333333333328,-4.0,0.0,0,0,0.004395736570814961,0.3140829799366743,0.8741,0
129,100776.15,11401.95,1560.75,0.1369,692,41,0,0,0.00016666666666667607,1.0,0.0,0,0,0.0024801433650317767,0.1858475442629018,0.8631,0
130,43475.55,3487.16,1118.79,0.3208,692,33,0,0,-0.0018999999999999573,2.6666666666667425,0.0,0,0,0.0038906226294058133,0.30880529392484596,0.6792,0
131,62716.51,15449.97,3852.31,0.2493,703,44,1,15,0.004266666666666641,-0.33333333333337123,0.3333333333333333,2,28,0.007912349700169847,0.7370901217423437,0.7507,0
132,31219.52,13855.71,1526.07,0.1101,743,53,0,0,-0.003600000000000006,0.0,0.0,0,0,0.0020493901531919195,0.5865830093787798,0.8899,0
133,23181.96,2613.88,1510.57,0.5779,634,37,0,0,0.08533333333333326,-6.333333333333371,0.0,2,57,0.08011658345464091,0.781937333625662,0.42210000000000003,0
134,66244.9,4077.52,729.54,0.1789,550,50,0,0,0.026566666666666683,0.6666666666667425,0.0,1,43,0.020725735478170883,0.13215326762383459,0.8210999999999999,1
135,28771.86,7181.91,2051.28,0.2856,600,21,0,0,-0.013933333333333298,0.33333333333337123,0.0,0,0,0.009926661629727837,0.8555359295413495,0.7143999999999999,0
136,92688.59,9195.39,1827.22,0.1987,662,47,0,0,-0.0032999999999999974,-3.0,0.0,2,51,0.0033848929082025622,0.23656245064426215,0.8013,0
137,68912.66,7971.6,1357.04,0.1702,662,46,0,0,0.002433333333333315,5.333333333333371,0.0,0,0,0.0027946377224964147,0.23630607202166226,0.8298,0
138,49684.29,8923.09,2306.55,0.2585,645,48,0,0,0.0,3.3333333333332575,-0.3333333333333333,1,45,0.005479456582950938,0.5570895748598788,0.7415,0
139,88540.27,5196.83,1219.09,0.2346,639,24,0,0,0.008800000000000002,-2.0,0.0,0,0,0.006062590205514476,0.16522515684690475,0.7654,0
140,54079.44,7760.38,3351.19,0.4318,757,31,0,0,0.0732666666666667,2.3333333333332575,0.0,0,0,0.06231035226990775,0.743614948510499,0.5682,1
141,52131.21,14349.72,4424.74,0.3084,616,37,0,0,-0.013199999999999934,1.3333333333333712,0.0,0,0,0.01028761391188454,1.0185238360624607,0.6916,0
142,35415.37,11036.2,5283.75,0.4788,629,48,0,0,0.03286666666666671,-4.0,0.0,0,0,0.04526655620997816,1.790324369857384,0.5212,0
143,75816.14,5066.42,896.01,0.1769,649,42,0,0,0.0012666666666666382,1.3333333333333712,0.0,0,0,0.004010437770507238,0.14181835158448028,0.8230999999999999,0
144,51840.85,5424.34,1594.81,0.294,850,21,0,0,-0.0010666666666666602,3.0,0.0,0,0,0.008708329346091585,0.3691629283773326,0.706,0
145,15385.83,4092.77,1142.77,0.2792,743,50,0,0,0.03216666666666668,-2.6666666666667425,0.0,0,0,0.025513776235159276,0.8912902319409819,0.7208,1
146,80730.1,7364.67,2052.47,0.2787,613,54,0,0,0.0010000000000000564,4.0,0.0,0,0,0.0031929610082179227,0.30508620695798666,0.7213,0
147,24408.34,8141.48,1944.43,0.2388,671,31,0,0,0.0032999999999999696,4.3333333333332575,0.0,0,0,0.004278174584770671,0.9559503017627825,0.7612,0
148,32794.66,2843.39,435.77,0.1533,703,24,0,0,-0.00413333333333335,1.0,0.0,1,7,0.004910448044730739,0.1594540086125775,0.8467,0
149,64000.58,9923.7,1669.66,0.1682,705,71,0,0,-0.0018000000000000238,-1.0,0.0,1,50,0.0014999999999999976,0.3130584128494351,0.8318,0
150,44599.67,7124.8,1167.02,0.1638,683,28,0,0,-0.005699999999999983,-5.0,0.0,1,14,0.00404540205390982,0.31399873578060145,0.8362,0
151,47170.13,13826.76,3950.31,0.2857,644,35,0,0,-0.009799999999999975,7.333333333333371,0.0,0,0,0.012014724762187078,1.0049520742881264,0.7142999999999999,0
152,66150.54,3562.96,697.36,0.1957,738,36,0,0,-0.011966666666666653,-1.0,0.0,0,0,0.007060000786905849,0.12650418270934674,0.8043,0
153,58882.2,10746.99,2140.65,0.1992,651,35,0,0,-6.666666666665932e-05,9.666666666666629,0.0,1,43,0.00920055855792341,0.4362574767037392,0.8008,0
154,101655.49,8827.43,986.18,0.1117,698,34,0,0,-0.007533333333333336,-0.33333333333337123,0.0,0,0,0.006946481923327165,0.1164143717039092,0.8883,0
155,31536.34,15218.81,4835.21,0.3177,601,33,0,0,0.009133333333333382,-2.3333333333332575,0.0,0,0,0.006522077889752596,1.8398622027134937,0.6823,0
156,55130.79,8752.49,2358.95,0.2695,721,45,0,0,-0.010399999999999965,-0.33333333333337123,0.0,0,0,0.011110918053878356,0.513458994399291,0.7304999999999999,0
157,80374.93,5659.15,1351.55,0.2388,776,54,0,0,-0.019766666666666682,3.6666666666667425,0.0,0,0,0.01009225500624671,0.20178680090394555,0.7612,0
158,41067.15,11838.18,2271.53,0.1919,675,21,0,0,0.013299999999999979,7.0,-0.3333333333333333,1,6,0.0087941742079629,0.6637509540358898,0.8081,0
159,64848.17,870.9,347.46,0.399,729,21,0,0,0.06110000000000004,3.3333333333332575,0.0,0,0,0.04995062562170768,0.06429664860594277,0.601,1
160,91974.96,9973.13,2028.65,0.2034,788,36,1,9,0.013200000000000017,1.6666666666666288,0.3333333333333333,1,9,0.008369438451891498,0.2646785603040638,0.7966,0
161,30650.27,500.0,115.49,0.231,692,51,0,0,0.0007333333333333081,4.6666666666667425,0.0,0,0,0.008995832368380363,0.04521591488288387,0.769,0
162,49162.43,11585.27,1680.46,0.1451,591,21,0,0,0.00466666666666668,5.6666666666667425,0.0,1,48,0.005411279372241309,0.41018151452395296,0.8549,0
163,43040.57,4239.0,514.35,0.1213,702,43,1,45,-0.0011999999999999927,-5.0,0.3333333333333333,1,45,0.0027156951228000546,0.1434042346158322,0.8787,0
164,28371.38,8700.6,1864.88,0.2143,643,44,0,0,-0.010033333333333339,-8.333333333333371,-0.3333333333333333,1,37,0.0076421710120736,0.788772347010781,0.7857000000000001,0
165,95261.9,9876.14,2360.64,0.239,639,33,0,0,-0.003166666666666651,2.6666666666667425,0.0,0,0,0.006620192175794036,0.2973663132525344,0.761,0
166,41616.55,7865.95,2242.63,0.2851,687,26,0,0,-0.0009333333333333416,-5.0,0.3333333333333333,1,50,0.00632101872942783,0.6466552367325051,0.7149,0
